,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20
White + Advanced Degree,903.0,923.0,960.0,961.0,1000.0,1038.0,1076.0,1113.0,1136.0,1154.0,1177.0,1231.0,1250.0,1288.0,1346.0,1346.0,1346.0,1385.0,1385.0,1375.0,1385.0,1442.0,1442.0,1500.0,1538.0,1600.0
Hispanic or Latino,340.0,350.0,360.0,380.0,400.0,400.0,440.0,450.0,441.0,458.0,480.0,480.0,500.0,538.0,548.0,547.0,560.0,576.0,577.0,590.0,600.0,620.0,650.0,680.0,700.0,760.0
Hispanic or Latino + Less than HS,266.0,276.0,280.0,300.0,300.0,320.0,340.0,356.0,360.0,360.0,391.0,400.0,400.0,420.0,404.0,400.0,420.0,440.0,440.0,460.0,474.0,481.0,500.0,540.0,580.0,600.0
Hispanic or Latino + High School,350.0,352.0,360.0,398.0,400.0,400.0,440.0,442.0,450.0,460.0,480.0,480.0,500.0,520.0,520.0,520.0,540.0,546.0,560.0,560.0,576.0,600.0,612.0,640.0,655.0,700.0
Hispanic or Latino + Some College,406.0,413.0,440.0,450.0,461.0,480.0,520.0,538.0,532.0,550.0,560.0,577.0,596.0,610.0,600.0,600.0,615.0,625.0,615.0,640.0,644.0,673.0,680.0,715.0,720.0,769.0
Hispanic or Latino + Bachelors Degree,576.0,600.0,626.0,653.0,692.0,700.0,722.0,750.0,725.0,769.0,769.0,770.0,807.0,850.0,865.0,850.0,923.0,900.0,894.0,919.0,950.0,990.0,962.0,962.0,1000.0,1080.0
Hispanic or Latino + Advanced Degree,807.0,865.0,769.0,818.0,923.0,923.0,923.0,954.0,961.0,985.0,1077.0,1038.0,1146.0,1140.0,1250.0,1250.0,1173.0,1200.0,1284.0,1200.0,1250.0,1300.0,1304.0,1346.0,1409.0,1442.0
White + Male,576.0,576.0,600.0,615.0,643.0,673.0,692.0,711.0,730.0,750.0,768.0,776.0,800.0,850.0,865.0,865.0,884.0,904.0,920.0,923.0,948.0,962.0,996.0,1002.0,1057.0,1150.0
Hispanic or Latino + Male,360.0,360.0,380.0,400.0,411.0,426.0,461.0,480.0,470.0,480.0,484.0,500.0,520.0,560.0,576.0,562.0,577.0,600.0,600.0,600.0,629.0,673.0,692.0,720.0,750.0,800.0
White + Male + Less than HS,346.0,346.0,350.0,360.0,374.0,385.0,400.0,400.0,420.0,438.0,442.0,458.0,480.0,496.0,492.0,480.0,495.0,519.0,500.0,520.0,520.0,560.0,600.0,600.0,650.0,680.0
