,18
total,900.0
total men,1000.0
total women,798.0
Less than HS,550.0
High School,710.0
Some College,800.0
Bachelors Degree,1154.0
Advanced Degree,1500.0
Male + Less than HS,600.0
Male + High School,800.0
Male + Some College,923.0
Male + Bachelors Degree,1346.0
Male + Advanced Degree,1750.0
Female + Less than HS,470.0
Female + High School,600.0
Female + Some College,680.0
Female + Bachelors Degree,1000.0
Female + Advanced Degree,1308.0
White,923.0
White + Less than HS,560.0
White + High School,740.0
White + Some College,810.0
White + Bachelors Degree,1160.0
White + Advanced Degree,1500.0
Hispanic or Latino,680.0
Hispanic or Latino + Less than HS,540.0
Hispanic or Latino + High School,640.0
Hispanic or Latino + Some College,715.0
Hispanic or Latino + Bachelors Degree,962.0
Hispanic or Latino + Advanced Degree,1346.0
White + Male,1002.0
Hispanic or Latino + Male,720.0
White + Male + Less than HS,600.0
Hispanic or Latino + Male + Less than HS,600.0
White + Male + High School,821.0
Hispanic or Latino + Male + High School,713.0
White + Male + Some College,961.0
Hispanic or Latino + Male + Some College,800.0
White + Male + Bachelors Degree,1346.0
Hispanic or Latino + Male + Bachelors Degree,1066.0
White + Male + Advanced Degree,1769.0
Hispanic or Latino + Male + Advanced Degree,1500.0
White + Female,807.0
Hispanic or Latino + Female,608.0
White + Female + Less than HS,480.0
Hispanic or Latino + Female + Less than HS,459.0
White + Female + High School,615.0
Hispanic or Latino + Female + High School,560.0
White + Female + Some College,700.0
Hispanic or Latino + Female + Some College,634.0
White + Female + Bachelors Degree,1000.0
Hispanic or Latino + Female + Bachelors Degree,880.0
White + Female + Advanced Degree,1310.0
Hispanic or Latino + Female + Advanced Degree,1154.0
Black,700.0
Black + Less than HS,460.0
Black + High School,600.0
Black + Some College,650.0
Black + Bachelors Degree,961.0
Black + Advanced Degree,1250.0
Black + Male,760.0
Black + Male + Less than HS,500.0
Black + Male + High School,650.0
Black + Male + Some College,750.0
Black + Male + Bachelors Degree,1000.0
Black + Male + Advanced Degree,1400.0
Black + Female,653.0
Black + Female + Less than HS,420.0
Black + Female + High School,540.0
Black + Female + Some College,600.0
Black + Female + Bachelors Degree,923.0
Black + Female + Advanced Degree,1154.0
Asian,1057.0
Asian + Less than HS,520.0
Asian + High School,660.0
Asian + Some College,769.0
Asian + Bachelors Degree,1200.0
Asian + Advanced Degree,1654.0
Asian + Male,1200.0
Asian + Male + Less than HS,577.0
Asian + Male + High School,750.0
Asian + Male + Some College,852.0
Asian + Male + Bachelors Degree,1384.0
Asian + Male + Advanced Degree,1836.0
Asian + Female,903.0
Asian + Female + Less than HS,480.0
Asian + Female + High School,580.0
Asian + Female + Some College,673.0
Asian + Female + Bachelors Degree,1057.0
Asian + Female + Advanced Degree,1442.0
