,13
total,800.0
total men,894.0
total women,720.0
Less than HS,468.0
High School,640.0
Some College,720.0
Bachelors Degree,1058.0
Advanced Degree,1385.0
Male + Less than HS,500.0
Male + High School,720.0
Male + Some College,808.0
Male + Bachelors Degree,1242.0
Male + Advanced Degree,1615.0
Female + Less than HS,400.0
Female + High School,557.0
Female + Some College,630.0
Female + Bachelors Degree,929.0
Female + Advanced Degree,1200.0
White,810.0
White + Less than HS,480.0
White + High School,660.0
White + Some College,744.0
White + Bachelors Degree,1058.0
White + Advanced Degree,1385.0
Hispanic or Latino,577.0
Hispanic or Latino + Less than HS,440.0
Hispanic or Latino + High School,560.0
Hispanic or Latino + Some College,615.0
Hispanic or Latino + Bachelors Degree,894.0
Hispanic or Latino + Advanced Degree,1284.0
White + Male,920.0
Hispanic or Latino + Male,600.0
White + Male + Less than HS,500.0
Hispanic or Latino + Male + Less than HS,480.0
White + Male + High School,750.0
Hispanic or Latino + Male + High School,600.0
White + Male + Some College,850.0
Hispanic or Latino + Male + Some College,700.0
White + Male + Bachelors Degree,1250.0
Hispanic or Latino + Male + Bachelors Degree,1000.0
White + Male + Advanced Degree,1634.0
Hispanic or Latino + Male + Advanced Degree,1500.0
White + Female,730.0
Hispanic or Latino + Female,547.0
White + Female + Less than HS,400.0
Hispanic or Latino + Female + Less than HS,385.0
White + Female + High School,561.0
Hispanic or Latino + Female + High School,487.0
White + Female + Some College,640.0
Hispanic or Latino + Female + Some College,576.0
White + Female + Bachelors Degree,926.0
Hispanic or Latino + Female + Bachelors Degree,807.0
White + Female + Advanced Degree,1200.0
Hispanic or Latino + Female + Advanced Degree,1058.0
Black,650.0
Black + Less than HS,430.0
Black + High School,540.0
Black + Some College,600.0
Black + Bachelors Degree,960.0
Black + Advanced Degree,1200.0
Black + Male,680.0
Black + Male + Less than HS,460.0
Black + Male + High School,580.0
Black + Male + Some College,652.0
Black + Male + Bachelors Degree,971.0
Black + Male + Advanced Degree,1269.0
Black + Female,615.0
Black + Female + Less than HS,400.0
Black + Female + High School,500.0
Black + Female + Some College,577.0
Black + Female + Bachelors Degree,904.0
Black + Female + Advanced Degree,1154.0
Asian,920.0
Asian + Less than HS,440.0
Asian + High School,577.0
Asian + Some College,692.0
Asian + Bachelors Degree,1130.0
Asian + Advanced Degree,1500.0
Asian + Male,1038.0
Asian + Male + Less than HS,480.0
Asian + Male + High School,600.0
Asian + Male + Some College,775.0
Asian + Male + Bachelors Degree,1250.0
Asian + Male + Advanced Degree,1692.0
Asian + Female,800.0
Asian + Female + Less than HS,400.0
Asian + Female + High School,558.0
Asian + Female + Some College,640.0
Asian + Female + Bachelors Degree,962.0
Asian + Female + Advanced Degree,1244.0
