,10
total,769.0
total men,850.0
total women,673.0
Less than HS,440.0
High School,600.0
Some College,700.0
Bachelors Degree,1000.0
Advanced Degree,1346.0
Male + Less than HS,480.0
Male + High School,692.0
Male + Some College,800.0
Male + Bachelors Degree,1154.0
Male + Advanced Degree,1538.0
Female + Less than HS,400.0
Female + High School,525.0
Female + Some College,600.0
Female + Bachelors Degree,865.0
Female + Advanced Degree,1154.0
White,769.0
White + Less than HS,440.0
White + High School,625.0
White + Some College,720.0
White + Bachelors Degree,1000.0
White + Advanced Degree,1346.0
Hispanic or Latino,769.0
Hispanic or Latino + Less than HS,440.0
Hispanic or Latino + High School,600.0
Hispanic or Latino + Some College,700.0
Hispanic or Latino + Bachelors Degree,1000.0
Hispanic or Latino + Advanced Degree,1346.0
White + Male,865.0
Hispanic or Latino + Male,850.0
White + Male + Less than HS,480.0
Hispanic or Latino + Male + Less than HS,480.0
White + Male + High School,720.0
Hispanic or Latino + Male + High School,692.0
White + Male + Some College,832.0
Hispanic or Latino + Male + Some College,800.0
White + Male + Bachelors Degree,1154.0
Hispanic or Latino + Male + Bachelors Degree,1154.0
White + Male + Advanced Degree,1558.0
Hispanic or Latino + Male + Advanced Degree,1538.0
White + Female,680.0
Hispanic or Latino + Female,673.0
White + Female + Less than HS,390.0
Hispanic or Latino + Female + Less than HS,400.0
White + Female + High School,538.0
Hispanic or Latino + Female + High School,525.0
White + Female + Some College,615.0
Hispanic or Latino + Female + Some College,600.0
White + Female + Bachelors Degree,865.0
Hispanic or Latino + Female + Bachelors Degree,865.0
White + Female + Advanced Degree,1154.0
Hispanic or Latino + Female + Advanced Degree,1154.0
Black,620.0
Black + Less than HS,404.0
Black + High School,525.0
Black + Some College,600.0
Black + Bachelors Degree,865.0
Black + Advanced Degree,1073.0
Black + Male,653.0
Black + Male + Less than HS,443.0
Black + Male + High School,577.0
Black + Male + Some College,649.0
Black + Male + Bachelors Degree,951.0
Black + Male + Advanced Degree,1250.0
Black + Female,600.0
Black + Female + Less than HS,398.0
Black + Female + High School,481.0
Black + Female + Some College,576.0
Black + Female + Bachelors Degree,827.0
Black + Female + Advanced Degree,1000.0
Asian,810.0
Asian + Less than HS,448.0
Asian + High School,576.0
Asian + Some College,670.0
Asian + Bachelors Degree,1000.0
Asian + Advanced Degree,1442.0
Asian + Male,923.0
Asian + Male + Less than HS,480.0
Asian + Male + High School,607.0
Asian + Male + Some College,707.0
Asian + Male + Bachelors Degree,1101.0
Asian + Male + Advanced Degree,1538.0
Asian + Female,750.0
Asian + Female + Less than HS,423.0
Asian + Female + High School,520.0
Asian + Female + Some College,615.0
Asian + Female + Bachelors Degree,930.0
Asian + Female + Advanced Degree,1250.0
