,20
total,1000.0
total men,1115.0
total women,900.0
Less than HS,600.0
High School,769.0
Some College,865.0
Bachelors Degree,1250.0
Advanced Degree,1615.0
Male + Less than HS,670.0
Male + High School,860.0
Male + Some College,1000.0
Male + Bachelors Degree,1447.0
Male + Advanced Degree,1923.0
Female + Less than HS,525.0
Female + High School,652.0
Female + Some College,760.0
Female + Bachelors Degree,1100.0
Female + Advanced Degree,1423.0
White,1000.0
White + Less than HS,615.0
White + High School,800.0
White + Some College,900.0
White + Bachelors Degree,1269.0
White + Advanced Degree,1600.0
Hispanic or Latino,1000.0
Hispanic or Latino + Less than HS,600.0
Hispanic or Latino + High School,769.0
Hispanic or Latino + Some College,865.0
Hispanic or Latino + Bachelors Degree,1250.0
Hispanic or Latino + Advanced Degree,1615.0
White + Male,1150.0
Hispanic or Latino + Male,1115.0
White + Male + Less than HS,680.0
Hispanic or Latino + Male + Less than HS,670.0
White + Male + High School,880.0
Hispanic or Latino + Male + High School,860.0
White + Male + Some College,1019.0
Hispanic or Latino + Male + Some College,1000.0
White + Male + Bachelors Degree,1500.0
Hispanic or Latino + Male + Bachelors Degree,1447.0
White + Male + Advanced Degree,1923.0
Hispanic or Latino + Male + Advanced Degree,1923.0
White + Female,920.0
Hispanic or Latino + Female,900.0
White + Female + Less than HS,520.0
Hispanic or Latino + Female + Less than HS,525.0
White + Female + High School,673.0
Hispanic or Latino + Female + High School,652.0
White + Female + Some College,769.0
Hispanic or Latino + Female + Some College,760.0
White + Female + Bachelors Degree,1108.0
Hispanic or Latino + Female + Bachelors Degree,1100.0
White + Female + Advanced Degree,1400.0
Hispanic or Latino + Female + Advanced Degree,1423.0
Black,800.0
Black + Less than HS,560.0
Black + High School,662.0
Black + Some College,731.0
Black + Bachelors Degree,1057.0
Black + Advanced Degree,1388.0
Black + Male,850.0
Black + Male + Less than HS,600.0
Black + Male + High School,720.0
Black + Male + Some College,800.0
Black + Male + Bachelors Degree,1154.0
Black + Male + Advanced Degree,1538.0
Black + Female,769.0
Black + Female + Less than HS,520.0
Black + Female + High School,600.0
Black + Female + Some College,692.0
Black + Female + Bachelors Degree,1000.0
Black + Female + Advanced Degree,1269.0
Asian,1250.0
Asian + Less than HS,600.0
Asian + High School,700.0
Asian + Some College,865.0
Asian + Bachelors Degree,1346.0
Asian + Advanced Degree,1903.0
Asian + Male,1400.0
Asian + Male + Less than HS,600.0
Asian + Male + High School,786.0
Asian + Male + Some College,962.0
Asian + Male + Bachelors Degree,1519.0
Asian + Male + Advanced Degree,1971.0
Asian + Female,1098.0
Asian + Female + Less than HS,600.0
Asian + Female + High School,600.0
Asian + Female + Some College,775.0
Asian + Female + Bachelors Degree,1200.0
Asian + Female + Advanced Degree,1635.0
