,02
total,601.0
total men,692.0
total women,528.0
Less than HS,380.0
High School,508.0
Some College,600.0
Bachelors Degree,838.0
Advanced Degree,1096.0
Male + Less than HS,400.0
Male + High School,600.0
Male + Some College,690.0
Male + Bachelors Degree,961.0
Male + Advanced Degree,1250.0
Female + Less than HS,320.0
Female + High School,440.0
Female + Some College,507.0
Female + Bachelors Degree,720.0
Female + Advanced Degree,923.0
White,625.0
White + Less than HS,390.0
White + High School,520.0
White + Some College,600.0
White + Bachelors Degree,865.0
White + Advanced Degree,1113.0
Hispanic or Latino,450.0
Hispanic or Latino + Less than HS,356.0
Hispanic or Latino + High School,442.0
Hispanic or Latino + Some College,538.0
Hispanic or Latino + Bachelors Degree,750.0
Hispanic or Latino + Advanced Degree,954.0
White + Male,711.0
Hispanic or Latino + Male,480.0
White + Male + Less than HS,400.0
Hispanic or Latino + Male + Less than HS,384.0
White + Male + High School,600.0
Hispanic or Latino + Male + High School,500.0
White + Male + Some College,700.0
Hispanic or Latino + Male + Some College,600.0
White + Male + Bachelors Degree,1000.0
Hispanic or Latino + Male + Bachelors Degree,813.0
White + Male + Advanced Degree,1282.0
Hispanic or Latino + Male + Advanced Degree,1076.0
White + Female,540.0
Hispanic or Latino + Female,408.0
White + Female + Less than HS,320.0
Hispanic or Latino + Female + Less than HS,300.0
White + Female + High School,442.0
Hispanic or Latino + Female + High School,400.0
White + Female + Some College,519.0
Hispanic or Latino + Female + Some College,480.0
White + Female + Bachelors Degree,730.0
Hispanic or Latino + Female + Bachelors Degree,653.0
White + Female + Advanced Degree,937.0
Hispanic or Latino + Female + Advanced Degree,820.0
Black,500.0
Black + Less than HS,350.0
Black + High School,442.0
Black + Some College,506.0
Black + Bachelors Degree,739.0
Black + Advanced Degree,923.0
Black + Male,540.0
Black + Male + Less than HS,386.0
Black + Male + High School,494.0
Black + Male + Some College,561.0
Black + Male + Bachelors Degree,788.0
Black + Male + Advanced Degree,961.0
Black + Female,480.0
Black + Female + Less than HS,317.0
Black + Female + High School,400.0
Black + Female + Some College,480.0
Black + Female + Bachelors Degree,687.0
Black + Female + Advanced Degree,888.0
Asian,623.0
Asian + Less than HS,360.0
Asian + High School,472.0
Asian + Some College,560.0
Asian + Bachelors Degree,800.0
Asian + Advanced Degree,1153.0
Asian + Male,730.0
Asian + Male + Less than HS,384.0
Asian + Male + High School,535.0
Asian + Male + Some College,617.0
Asian + Male + Bachelors Degree,923.0
Asian + Male + Advanced Degree,1250.0
Asian + Female,538.0
Asian + Female + Less than HS,350.0
Asian + Female + High School,421.0
Asian + Female + Some College,480.0
Asian + Female + Bachelors Degree,692.0
Asian + Female + Advanced Degree,944.0
