,06
total,680.0
total men,769.0
total women,600.0
Less than HS,400.0
High School,573.0
Some College,650.0
Bachelors Degree,935.0
Advanced Degree,1200.0
Male + Less than HS,450.0
Male + High School,650.0
Male + Some College,760.0
Male + Bachelors Degree,1058.0
Male + Advanced Degree,1423.0
Female + Less than HS,360.0
Female + High School,480.0
Female + Some College,566.0
Female + Bachelors Degree,800.0
Female + Advanced Degree,1019.0
White,696.0
White + Less than HS,408.0
White + High School,589.0
White + Some College,673.0
White + Bachelors Degree,961.0
White + Advanced Degree,1231.0
Hispanic or Latino,480.0
Hispanic or Latino + Less than HS,400.0
Hispanic or Latino + High School,480.0
Hispanic or Latino + Some College,577.0
Hispanic or Latino + Bachelors Degree,770.0
Hispanic or Latino + Advanced Degree,1038.0
White + Male,776.0
Hispanic or Latino + Male,500.0
White + Male + Less than HS,458.0
Hispanic or Latino + Male + Less than HS,400.0
White + Male + High School,673.0
Hispanic or Latino + Male + High School,520.0
White + Male + Some College,769.0
Hispanic or Latino + Male + Some College,631.0
White + Male + Bachelors Degree,1096.0
Hispanic or Latino + Male + Bachelors Degree,860.0
White + Male + Advanced Degree,1442.0
Hispanic or Latino + Male + Advanced Degree,1211.0
White + Female,600.0
Hispanic or Latino + Female,442.0
White + Female + Less than HS,354.0
Hispanic or Latino + Female + Less than HS,330.0
White + Female + High School,490.0
Hispanic or Latino + Female + High School,420.0
White + Female + Some College,576.0
Hispanic or Latino + Female + Some College,519.0
White + Female + Bachelors Degree,807.0
Hispanic or Latino + Female + Bachelors Degree,730.0
White + Female + Advanced Degree,1038.0
Hispanic or Latino + Female + Advanced Degree,962.0
Black,560.0
Black + Less than HS,393.0
Black + High School,480.0
Black + Some College,560.0
Black + Bachelors Degree,772.0
Black + Advanced Degree,1015.0
Black + Male,600.0
Black + Male + Less than HS,400.0
Black + Male + High School,525.0
Black + Male + Some College,600.0
Black + Male + Bachelors Degree,865.0
Black + Male + Advanced Degree,1154.0
Black + Female,520.0
Black + Female + Less than HS,360.0
Black + Female + High School,440.0
Black + Female + Some College,520.0
Black + Female + Bachelors Degree,760.0
Black + Female + Advanced Degree,962.0
Asian,761.0
Asian + Less than HS,450.0
Asian + High School,520.0
Asian + Some College,600.0
Asian + Bachelors Degree,923.0
Asian + Advanced Degree,1250.0
Asian + Male,848.0
Asian + Male + Less than HS,466.0
Asian + Male + High School,568.0
Asian + Male + Some College,665.0
Asian + Male + Bachelors Degree,1038.0
Asian + Male + Advanced Degree,1423.0
Asian + Female,664.0
Asian + Female + Less than HS,400.0
Asian + Female + High School,481.0
Asian + Female + Some College,569.0
Asian + Female + Bachelors Degree,800.0
Asian + Female + Advanced Degree,1080.0
