,11
total,769.0
total men,865.0
total women,692.0
Less than HS,450.0
High School,620.0
Some College,702.0
Bachelors Degree,1000.0
Advanced Degree,1346.0
Male + Less than HS,480.0
Male + High School,700.0
Male + Some College,804.0
Male + Bachelors Degree,1154.0
Male + Advanced Degree,1538.0
Female + Less than HS,400.0
Female + High School,544.0
Female + Some College,615.0
Female + Bachelors Degree,888.0
Female + Advanced Degree,1154.0
White,800.0
White + Less than HS,450.0
White + High School,640.0
White + Some College,731.0
White + Bachelors Degree,1038.0
White + Advanced Degree,1346.0
Hispanic or Latino,560.0
Hispanic or Latino + Less than HS,420.0
Hispanic or Latino + High School,540.0
Hispanic or Latino + Some College,615.0
Hispanic or Latino + Bachelors Degree,923.0
Hispanic or Latino + Advanced Degree,1173.0
White + Male,884.0
Hispanic or Latino + Male,577.0
White + Male + Less than HS,495.0
Hispanic or Latino + Male + Less than HS,444.0
White + Male + High School,720.0
Hispanic or Latino + Male + High School,580.0
White + Male + Some College,839.0
Hispanic or Latino + Male + Some College,692.0
White + Male + Bachelors Degree,1192.0
Hispanic or Latino + Male + Bachelors Degree,1000.0
White + Male + Advanced Degree,1596.0
Hispanic or Latino + Male + Advanced Degree,1384.0
White + Female,700.0
Hispanic or Latino + Female,520.0
White + Female + Less than HS,400.0
Hispanic or Latino + Female + Less than HS,384.0
White + Female + High School,558.0
Hispanic or Latino + Female + High School,480.0
White + Female + Some College,630.0
Hispanic or Latino + Female + Some College,560.0
White + Female + Bachelors Degree,900.0
Hispanic or Latino + Female + Bachelors Degree,831.0
White + Female + Advanced Degree,1154.0
Hispanic or Latino + Female + Advanced Degree,1098.0
Black,630.0
Black + Less than HS,414.0
Black + High School,536.0
Black + Some College,600.0
Black + Bachelors Degree,885.0
Black + Advanced Degree,1077.0
Black + Male,680.0
Black + Male + Less than HS,440.0
Black + Male + High School,592.0
Black + Male + Some College,673.0
Black + Male + Bachelors Degree,962.0
Black + Male + Advanced Degree,1154.0
Black + Female,600.0
Black + Female + Less than HS,400.0
Black + Female + High School,485.0
Black + Female + Some College,576.0
Black + Female + Bachelors Degree,824.0
Black + Female + Advanced Degree,1038.0
Asian,840.0
Asian + Less than HS,440.0
Asian + High School,560.0
Asian + Some College,673.0
Asian + Bachelors Degree,1000.0
Asian + Advanced Degree,1385.0
Asian + Male,961.0
Asian + Male + Less than HS,480.0
Asian + Male + High School,600.0
Asian + Male + Some College,750.0
Asian + Male + Bachelors Degree,1154.0
Asian + Male + Advanced Degree,1538.0
Asian + Female,740.0
Asian + Female + Less than HS,413.0
Asian + Female + High School,520.0
Asian + Female + Some College,600.0
Asian + Female + Bachelors Degree,904.0
Asian + Female + Advanced Degree,1165.0
