,04
total,644.0
total men,727.0
total women,560.0
Less than HS,400.0
High School,540.0
Some College,615.0
Bachelors Degree,865.0
Advanced Degree,1154.0
Male + Less than HS,425.0
Male + High School,612.0
Male + Some College,720.0
Male + Bachelors Degree,1000.0
Male + Advanced Degree,1346.0
Female + Less than HS,339.0
Female + High School,464.0
Female + Some College,538.0
Female + Bachelors Degree,769.0
Female + Advanced Degree,971.0
White,668.0
White + Less than HS,400.0
White + High School,560.0
White + Some College,635.0
White + Bachelors Degree,885.0
White + Advanced Degree,1154.0
Hispanic or Latino,458.0
Hispanic or Latino + Less than HS,360.0
Hispanic or Latino + High School,460.0
Hispanic or Latino + Some College,550.0
Hispanic or Latino + Bachelors Degree,769.0
Hispanic or Latino + Advanced Degree,985.0
White + Male,750.0
Hispanic or Latino + Male,480.0
White + Male + Less than HS,438.0
Hispanic or Latino + Male + Less than HS,400.0
White + Male + High School,640.0
Hispanic or Latino + Male + High School,496.0
White + Male + Some College,743.0
Hispanic or Latino + Male + Some College,600.0
White + Male + Bachelors Degree,1019.0
Hispanic or Latino + Male + Bachelors Degree,840.0
White + Male + Advanced Degree,1346.0
Hispanic or Latino + Male + Advanced Degree,1153.0
White + Female,576.0
Hispanic or Latino + Female,414.0
White + Female + Less than HS,338.0
Hispanic or Latino + Female + Less than HS,320.0
White + Female + High School,477.0
Hispanic or Latino + Female + High School,402.0
White + Female + Some College,546.0
Hispanic or Latino + Female + Some College,490.0
White + Female + Bachelors Degree,769.0
Hispanic or Latino + Female + Bachelors Degree,710.0
White + Female + Advanced Degree,978.0
Hispanic or Latino + Female + Advanced Degree,923.0
Black,528.0
Black + Less than HS,360.0
Black + High School,480.0
Black + Some College,525.0
Black + Bachelors Degree,769.0
Black + Advanced Degree,1000.0
Black + Male,572.0
Black + Male + Less than HS,400.0
Black + Male + High School,500.0
Black + Male + Some College,580.0
Black + Male + Bachelors Degree,808.0
Black + Male + Advanced Degree,1054.0
Black + Female,500.0
Black + Female + Less than HS,320.0
Black + Female + High School,440.0
Black + Female + Some College,500.0
Black + Female + Bachelors Degree,720.0
Black + Female + Advanced Degree,961.0
Asian,673.0
Asian + Less than HS,400.0
Asian + High School,480.0
Asian + Some College,577.0
Asian + Bachelors Degree,865.0
Asian + Advanced Degree,1240.0
Asian + Male,769.0
Asian + Male + Less than HS,432.0
Asian + Male + High School,530.0
Asian + Male + Some College,600.0
Asian + Male + Bachelors Degree,961.0
Asian + Male + Advanced Degree,1346.0
Asian + Female,577.0
Asian + Female + Less than HS,360.0
Asian + Female + High School,440.0
Asian + Female + Some College,524.0
Asian + Female + Bachelors Degree,769.0
Asian + Female + Advanced Degree,1000.0
