,96
total,490.0
total men,564.0
total women,414.0
Less than HS,300.0
High School,416.0
Some College,480.0
Bachelors Degree,673.0
Advanced Degree,910.0
Male + Less than HS,340.0
Male + High School,495.0
Male + Some College,570.0
Male + Bachelors Degree,769.0
Male + Advanced Degree,1000.0
Female + Less than HS,254.0
Female + High School,350.0
Female + Some College,403.0
Female + Bachelors Degree,576.0
Female + Advanced Degree,769.0
White,500.0
White + Less than HS,310.0
White + High School,435.0
White + Some College,495.0
White + Bachelors Degree,673.0
White + Advanced Degree,923.0
Hispanic or Latino,350.0
Hispanic or Latino + Less than HS,276.0
Hispanic or Latino + High School,352.0
Hispanic or Latino + Some College,413.0
Hispanic or Latino + Bachelors Degree,600.0
Hispanic or Latino + Advanced Degree,865.0
White + Male,576.0
Hispanic or Latino + Male,360.0
White + Male + Less than HS,346.0
Hispanic or Latino + Male + Less than HS,292.0
White + Male + High School,500.0
Hispanic or Latino + Male + High School,390.0
White + Male + Some College,576.0
Hispanic or Latino + Male + Some College,480.0
White + Male + Bachelors Degree,769.0
Hispanic or Latino + Male + Bachelors Degree,645.0
White + Male + Advanced Degree,1038.0
Hispanic or Latino + Male + Advanced Degree,923.0
White + Female,422.0
Hispanic or Latino + Female,320.0
White + Female + Less than HS,253.0
Hispanic or Latino + Female + Less than HS,240.0
White + Female + High School,352.0
Hispanic or Latino + Female + High School,318.0
White + Female + Some College,408.0
Hispanic or Latino + Female + Some College,369.0
White + Female + Bachelors Degree,576.0
Hispanic or Latino + Female + Bachelors Degree,565.0
White + Female + Advanced Degree,770.0
Hispanic or Latino + Female + Advanced Degree,769.0
Black,400.0
Black + Less than HS,284.0
Black + High School,346.0
Black + Some College,405.0
Black + Bachelors Degree,576.0
Black + Advanced Degree,758.0
Black + Male,420.0
Black + Male + Less than HS,320.0
Black + Male + High School,384.0
Black + Male + Some College,450.0
Black + Male + Bachelors Degree,615.0
Black + Male + Advanced Degree,798.0
Black + Female,366.0
Black + Female + Less than HS,260.0
Black + Female + High School,320.0
Black + Female + Some College,395.0
Black + Female + Bachelors Degree,538.0
Black + Female + Advanced Degree,726.0
Asian,480.0
Asian + Less than HS,300.0
Asian + High School,365.0
Asian + Some College,448.0
Asian + Bachelors Degree,634.0
Asian + Advanced Degree,880.0
Asian + Male,571.0
Asian + Male + Less than HS,320.0
Asian + Male + High School,424.0
Asian + Male + Some College,480.0
Asian + Male + Bachelors Degree,680.0
Asian + Male + Advanced Degree,961.0
Asian + Female,426.0
Asian + Female + Less than HS,266.0
Asian + Female + High School,325.0
Asian + Female + Some College,415.0
Asian + Female + Bachelors Degree,575.0
Asian + Female + Advanced Degree,750.0
