,07
total,700.0
total men,792.0
total women,614.0
Less than HS,420.0
High School,580.0
Some College,673.0
Bachelors Degree,962.0
Advanced Degree,1240.0
Male + Less than HS,468.0
Male + High School,667.0
Male + Some College,769.0
Male + Bachelors Degree,1106.0
Male + Advanced Degree,1442.0
Female + Less than HS,362.0
Female + High School,500.0
Female + Some College,577.0
Female + Bachelors Degree,823.0
Female + Advanced Degree,1058.0
White,720.0
White + Less than HS,428.0
White + High School,600.0
White + Some College,688.0
White + Bachelors Degree,962.0
White + Advanced Degree,1250.0
Hispanic or Latino,700.0
Hispanic or Latino + Less than HS,420.0
Hispanic or Latino + High School,580.0
Hispanic or Latino + Some College,673.0
Hispanic or Latino + Bachelors Degree,962.0
Hispanic or Latino + Advanced Degree,1240.0
White + Male,800.0
Hispanic or Latino + Male,792.0
White + Male + Less than HS,480.0
Hispanic or Latino + Male + Less than HS,468.0
White + Male + High School,680.0
Hispanic or Latino + Male + High School,667.0
White + Male + Some College,800.0
Hispanic or Latino + Male + Some College,769.0
White + Male + Bachelors Degree,1153.0
Hispanic or Latino + Male + Bachelors Degree,1106.0
White + Male + Advanced Degree,1442.0
Hispanic or Latino + Male + Advanced Degree,1442.0
White + Female,624.0
Hispanic or Latino + Female,614.0
White + Female + Less than HS,362.0
Hispanic or Latino + Female + Less than HS,362.0
White + Female + High School,500.0
Hispanic or Latino + Female + High School,500.0
White + Female + Some College,580.0
Hispanic or Latino + Female + Some College,577.0
White + Female + Bachelors Degree,828.0
Hispanic or Latino + Female + Bachelors Degree,823.0
White + Female + Advanced Degree,1058.0
Hispanic or Latino + Female + Advanced Degree,1058.0
Black,577.0
Black + Less than HS,400.0
Black + High School,481.0
Black + Some College,577.0
Black + Bachelors Degree,807.0
Black + Advanced Degree,1065.0
Black + Male,600.0
Black + Male + Less than HS,440.0
Black + Male + High School,520.0
Black + Male + Some College,634.0
Black + Male + Bachelors Degree,865.0
Black + Male + Advanced Degree,1153.0
Black + Female,550.0
Black + Female + Less than HS,360.0
Black + Female + High School,464.0
Black + Female + Some College,539.0
Black + Female + Bachelors Degree,769.0
Black + Female + Advanced Degree,1057.0
Asian,800.0
Asian + Less than HS,400.0
Asian + High School,550.0
Asian + Some College,650.0
Asian + Bachelors Degree,962.0
Asian + Advanced Degree,1269.0
Asian + Male,923.0
Asian + Male + Less than HS,443.0
Asian + Male + High School,601.0
Asian + Male + Some College,720.0
Asian + Male + Bachelors Degree,1096.0
Asian + Male + Advanced Degree,1442.0
Asian + Female,692.0
Asian + Female + Less than HS,380.0
Asian + Female + High School,481.0
Asian + Female + Some College,580.0
Asian + Female + Bachelors Degree,831.0
Asian + Female + Advanced Degree,1115.0
