,99
total,550.0
total men,620.0
total women,462.0
Less than HS,330.0
High School,461.0
Some College,530.0
Bachelors Degree,769.0
Advanced Degree,1000.0
Male + Less than HS,368.0
Male + High School,540.0
Male + Some College,617.0
Male + Bachelors Degree,884.0
Male + Advanced Degree,1153.0
Female + Less than HS,280.0
Female + High School,396.0
Female + Some College,452.0
Female + Bachelors Degree,650.0
Female + Advanced Degree,865.0
White,567.0
White + Less than HS,340.0
White + High School,480.0
White + Some College,550.0
White + Bachelors Degree,769.0
White + Advanced Degree,1000.0
Hispanic or Latino,400.0
Hispanic or Latino + Less than HS,300.0
Hispanic or Latino + High School,400.0
Hispanic or Latino + Some College,461.0
Hispanic or Latino + Bachelors Degree,692.0
Hispanic or Latino + Advanced Degree,923.0
White + Male,643.0
Hispanic or Latino + Male,411.0
White + Male + Less than HS,374.0
Hispanic or Latino + Male + Less than HS,323.0
White + Male + High School,560.0
Hispanic or Latino + Male + High School,440.0
White + Male + Some College,640.0
Hispanic or Latino + Male + Some College,538.0
White + Male + Bachelors Degree,913.0
Hispanic or Latino + Male + Bachelors Degree,769.0
White + Male + Advanced Degree,1153.0
Hispanic or Latino + Male + Advanced Degree,1052.0
White + Female,479.0
Hispanic or Latino + Female,360.0
White + Female + Less than HS,280.0
Hispanic or Latino + Female + Less than HS,260.0
White + Female + High School,400.0
Hispanic or Latino + Female + High School,360.0
White + Female + Some College,461.0
Hispanic or Latino + Female + Some College,414.0
White + Female + Bachelors Degree,653.0
Hispanic or Latino + Female + Bachelors Degree,615.0
White + Female + Advanced Degree,865.0
Hispanic or Latino + Female + Advanced Degree,769.0
Black,450.0
Black + Less than HS,307.0
Black + High School,400.0
Black + Some College,460.0
Black + Bachelors Degree,673.0
Black + Advanced Degree,865.0
Black + Male,486.0
Black + Male + Less than HS,360.0
Black + Male + High School,444.0
Black + Male + Some College,500.0
Black + Male + Bachelors Degree,730.0
Black + Male + Advanced Degree,955.0
Black + Female,409.0
Black + Female + Less than HS,280.0
Black + Female + High School,356.0
Black + Female + Some College,423.0
Black + Female + Bachelors Degree,634.0
Black + Female + Advanced Degree,826.0
Asian,576.0
Asian + Less than HS,320.0
Asian + High School,420.0
Asian + Some College,507.0
Asian + Bachelors Degree,720.0
Asian + Advanced Degree,961.0
Asian + Male,640.0
Asian + Male + Less than HS,360.0
Asian + Male + High School,458.0
Asian + Male + Some College,576.0
Asian + Male + Bachelors Degree,800.0
Asian + Male + Advanced Degree,1090.0
Asian + Female,500.0
Asian + Female + Less than HS,300.0
Asian + Female + High School,400.0
Asian + Female + Some College,461.0
Asian + Female + Bachelors Degree,646.0
Asian + Female + Advanced Degree,842.0
