,95
total,480.0
total men,550.0
total women,400.0
Less than HS,300.0
High School,400.0
Some College,470.0
Bachelors Degree,656.0
Advanced Degree,884.0
Male + Less than HS,330.0
Male + High School,480.0
Male + Some College,550.0
Male + Bachelors Degree,750.0
Male + Advanced Degree,1000.0
Female + Less than HS,250.0
Female + High School,345.0
Female + Some College,400.0
Female + Bachelors Degree,560.0
Female + Advanced Degree,769.0
White,500.0
White + Less than HS,300.0
White + High School,420.0
White + Some College,480.0
White + Bachelors Degree,673.0
White + Advanced Degree,903.0
Hispanic or Latino,340.0
Hispanic or Latino + Less than HS,266.0
Hispanic or Latino + High School,350.0
Hispanic or Latino + Some College,406.0
Hispanic or Latino + Bachelors Degree,576.0
Hispanic or Latino + Advanced Degree,807.0
White + Male,576.0
Hispanic or Latino + Male,360.0
White + Male + Less than HS,346.0
Hispanic or Latino + Male + Less than HS,280.0
White + Male + High School,500.0
Hispanic or Latino + Male + High School,390.0
White + Male + Some College,570.0
Hispanic or Latino + Male + Some College,480.0
White + Male + Bachelors Degree,769.0
Hispanic or Latino + Male + Bachelors Degree,615.0
White + Male + Advanced Degree,1000.0
Hispanic or Latino + Male + Advanced Degree,903.0
White + Female,404.0
Hispanic or Latino + Female,307.0
White + Female + Less than HS,250.0
Hispanic or Latino + Female + Less than HS,235.0
White + Female + High School,350.0
Hispanic or Latino + Female + High School,300.0
White + Female + Some College,400.0
Hispanic or Latino + Female + Some College,369.0
White + Female + Bachelors Degree,568.0
Hispanic or Latino + Female + Bachelors Degree,525.0
White + Female + Advanced Degree,769.0
Hispanic or Latino + Female + Advanced Degree,761.0
Black,384.0
Black + Less than HS,280.0
Black + High School,341.0
Black + Some College,400.0
Black + Bachelors Degree,575.0
Black + Advanced Degree,769.0
Black + Male,412.0
Black + Male + Less than HS,300.0
Black + Male + High School,384.0
Black + Male + Some College,432.0
Black + Male + Bachelors Degree,600.0
Black + Male + Advanced Degree,777.0
Black + Female,360.0
Black + Female + Less than HS,260.0
Black + Female + High School,307.0
Black + Female + Some College,375.0
Black + Female + Bachelors Degree,530.0
Black + Female + Advanced Degree,745.0
Asian,480.0
Asian + Less than HS,282.0
Asian + High School,364.0
Asian + Some College,461.0
Asian + Bachelors Degree,615.0
Asian + Advanced Degree,847.0
Asian + Male,550.0
Asian + Male + Less than HS,320.0
Asian + Male + High School,400.0
Asian + Male + Some College,500.0
Asian + Male + Bachelors Degree,692.0
Asian + Male + Advanced Degree,924.0
Asian + Female,420.0
Asian + Female + Less than HS,250.0
Asian + Female + High School,323.0
Asian + Female + Some College,403.0
Asian + Female + Bachelors Degree,549.0
Asian + Female + Advanced Degree,769.0
