,16
total,841.0
total men,942.0
total women,751.0
Less than HS,500.0
High School,668.0
Some College,750.0
Bachelors Degree,1115.0
Advanced Degree,1442.0
Male + Less than HS,556.0
Male + High School,747.0
Male + Some College,865.0
Male + Bachelors Degree,1292.0
Male + Advanced Degree,1654.0
Female + Less than HS,420.0
Female + High School,576.0
Female + Some College,650.0
Female + Bachelors Degree,961.0
Female + Advanced Degree,1250.0
White,865.0
White + Less than HS,500.0
White + High School,688.0
White + Some College,769.0
White + Bachelors Degree,1153.0
White + Advanced Degree,1442.0
Hispanic or Latino,841.0
Hispanic or Latino + Less than HS,500.0
Hispanic or Latino + High School,668.0
Hispanic or Latino + Some College,750.0
Hispanic or Latino + Bachelors Degree,1115.0
Hispanic or Latino + Advanced Degree,1442.0
White + Male,962.0
Hispanic or Latino + Male,942.0
White + Male + Less than HS,560.0
Hispanic or Latino + Male + Less than HS,556.0
White + Male + High School,769.0
Hispanic or Latino + Male + High School,747.0
White + Male + Some College,880.0
Hispanic or Latino + Male + Some College,865.0
White + Male + Bachelors Degree,1346.0
Hispanic or Latino + Male + Bachelors Degree,1292.0
White + Male + Advanced Degree,1673.0
Hispanic or Latino + Male + Advanced Degree,1654.0
White + Female,769.0
Hispanic or Latino + Female,751.0
White + Female + Less than HS,420.0
Hispanic or Latino + Female + Less than HS,420.0
White + Female + High School,581.0
Hispanic or Latino + Female + High School,576.0
White + Female + Some College,673.0
Hispanic or Latino + Female + Some College,650.0
White + Female + Bachelors Degree,962.0
Hispanic or Latino + Female + Bachelors Degree,961.0
White + Female + Advanced Degree,1250.0
Hispanic or Latino + Female + Advanced Degree,1250.0
Black,676.0
Black + Less than HS,440.0
Black + High School,562.0
Black + Some College,640.0
Black + Bachelors Degree,900.0
Black + Advanced Degree,1154.0
Black + Male,720.0
Black + Male + Less than HS,480.0
Black + Male + High School,600.0
Black + Male + Some College,725.0
Black + Male + Bachelors Degree,962.0
Black + Male + Advanced Degree,1288.0
Black + Female,640.0
Black + Female + Less than HS,400.0
Black + Female + High School,519.0
Black + Female + Some College,600.0
Black + Female + Bachelors Degree,846.0
Black + Female + Advanced Degree,1150.0
Asian,1000.0
Asian + Less than HS,500.0
Asian + High School,623.0
Asian + Some College,720.0
Asian + Bachelors Degree,1154.0
Asian + Advanced Degree,1635.0
Asian + Male,1115.0
Asian + Male + Less than HS,574.0
Asian + Male + High School,668.0
Asian + Male + Some College,800.0
Asian + Male + Bachelors Degree,1317.0
Asian + Male + Advanced Degree,1846.0
Asian + Female,865.0
Asian + Female + Less than HS,450.0
Asian + Female + High School,598.0
Asian + Female + Some College,673.0
Asian + Female + Bachelors Degree,1057.0
Asian + Female + Advanced Degree,1403.0
