,09
total,760.0
total men,850.0
total women,665.0
Less than HS,440.0
High School,600.0
Some College,692.0
Bachelors Degree,1000.0
Advanced Degree,1327.0
Male + Less than HS,483.0
Male + High School,694.0
Male + Some College,800.0
Male + Bachelors Degree,1154.0
Male + Advanced Degree,1538.0
Female + Less than HS,385.0
Female + High School,520.0
Female + Some College,600.0
Female + Bachelors Degree,865.0
Female + Advanced Degree,1153.0
White,769.0
White + Less than HS,450.0
White + High School,630.0
White + Some College,715.0
White + Bachelors Degree,1000.0
White + Advanced Degree,1346.0
Hispanic or Latino,760.0
Hispanic or Latino + Less than HS,440.0
Hispanic or Latino + High School,600.0
Hispanic or Latino + Some College,692.0
Hispanic or Latino + Bachelors Degree,1000.0
Hispanic or Latino + Advanced Degree,1327.0
White + Male,865.0
Hispanic or Latino + Male,850.0
White + Male + Less than HS,492.0
Hispanic or Latino + Male + Less than HS,483.0
White + Male + High School,720.0
Hispanic or Latino + Male + High School,694.0
White + Male + Some College,820.0
Hispanic or Latino + Male + Some College,800.0
White + Male + Bachelors Degree,1200.0
Hispanic or Latino + Male + Bachelors Degree,1154.0
White + Male + Advanced Degree,1538.0
Hispanic or Latino + Male + Advanced Degree,1538.0
White + Female,673.0
Hispanic or Latino + Female,665.0
White + Female + Less than HS,384.0
Hispanic or Latino + Female + Less than HS,385.0
White + Female + High School,536.0
Hispanic or Latino + Female + High School,520.0
White + Female + Some College,615.0
Hispanic or Latino + Female + Some College,600.0
White + Female + Bachelors Degree,865.0
Hispanic or Latino + Female + Bachelors Degree,865.0
White + Female + Advanced Degree,1154.0
Hispanic or Latino + Female + Advanced Degree,1153.0
Black,600.0
Black + Less than HS,400.0
Black + High School,520.0
Black + Some College,600.0
Black + Bachelors Degree,846.0
Black + Advanced Degree,1135.0
Black + Male,640.0
Black + Male + Less than HS,445.0
Black + Male + High School,573.0
Black + Male + Some College,640.0
Black + Male + Bachelors Degree,900.0
Black + Male + Advanced Degree,1200.0
Black + Female,595.0
Black + Female + Less than HS,393.0
Black + Female + High School,490.0
Black + Female + Some College,575.0
Black + Female + Bachelors Degree,816.0
Black + Female + Advanced Degree,1058.0
Asian,840.0
Asian + Less than HS,429.0
Asian + High School,568.0
Asian + Some College,650.0
Asian + Bachelors Degree,980.0
Asian + Advanced Degree,1360.0
Asian + Male,942.0
Asian + Male + Less than HS,481.0
Asian + Male + High School,600.0
Asian + Male + Some College,712.0
Asian + Male + Bachelors Degree,1057.0
Asian + Male + Advanced Degree,1505.0
Asian + Female,758.0
Asian + Female + Less than HS,400.0
Asian + Female + High School,520.0
Asian + Female + Some College,600.0
Asian + Female + Bachelors Degree,923.0
Asian + Female + Advanced Degree,1154.0
