,00
total,576.0
total men,650.0
total women,480.0
Less than HS,346.0
High School,480.0
Some College,553.0
Bachelors Degree,788.0
Advanced Degree,1000.0
Male + Less than HS,384.0
Male + High School,560.0
Male + Some College,650.0
Male + Bachelors Degree,923.0
Male + Advanced Degree,1153.0
Female + Less than HS,300.0
Female + High School,400.0
Female + Some College,480.0
Female + Bachelors Degree,673.0
Female + Advanced Degree,865.0
White,576.0
White + Less than HS,350.0
White + High School,492.0
White + Some College,570.0
White + Bachelors Degree,805.0
White + Advanced Degree,1038.0
Hispanic or Latino,400.0
Hispanic or Latino + Less than HS,320.0
Hispanic or Latino + High School,400.0
Hispanic or Latino + Some College,480.0
Hispanic or Latino + Bachelors Degree,700.0
Hispanic or Latino + Advanced Degree,923.0
White + Male,673.0
Hispanic or Latino + Male,426.0
White + Male + Less than HS,385.0
Hispanic or Latino + Male + Less than HS,346.0
White + Male + High School,576.0
Hispanic or Latino + Male + High School,440.0
White + Male + Some College,673.0
Hispanic or Latino + Male + Some College,550.0
White + Male + Bachelors Degree,950.0
Hispanic or Latino + Male + Bachelors Degree,769.0
White + Male + Advanced Degree,1153.0
Hispanic or Latino + Male + Advanced Degree,1038.0
White + Female,490.0
Hispanic or Latino + Female,378.0
White + Female + Less than HS,300.0
Hispanic or Latino + Female + Less than HS,280.0
White + Female + High School,406.0
Hispanic or Latino + Female + High School,370.0
White + Female + Some College,480.0
Hispanic or Latino + Female + Some College,440.0
White + Female + Bachelors Degree,676.0
Hispanic or Latino + Female + Bachelors Degree,624.0
White + Female + Advanced Degree,884.0
Hispanic or Latino + Female + Advanced Degree,774.0
Black,480.0
Black + Less than HS,322.0
Black + High School,409.0
Black + Some College,484.0
Black + Bachelors Degree,680.0
Black + Advanced Degree,846.0
Black + Male,508.0
Black + Male + Less than HS,364.0
Black + Male + High School,460.0
Black + Male + Some College,540.0
Black + Male + Bachelors Degree,711.0
Black + Male + Advanced Degree,961.0
Black + Female,440.0
Black + Female + Less than HS,300.0
Black + Female + High School,377.0
Black + Female + Some College,450.0
Black + Female + Bachelors Degree,660.0
Black + Female + Advanced Degree,775.0
Asian,600.0
Asian + Less than HS,334.0
Asian + High School,448.0
Asian + Some College,530.0
Asian + Bachelors Degree,769.0
Asian + Advanced Degree,1057.0
Asian + Male,680.0
Asian + Male + Less than HS,364.0
Asian + Male + High School,500.0
Asian + Male + Some College,600.0
Asian + Male + Bachelors Degree,850.0
Asian + Male + Advanced Degree,1169.0
Asian + Female,520.0
Asian + Female + Less than HS,304.0
Asian + Female + High School,400.0
Asian + Female + Some College,480.0
Asian + Female + Bachelors Degree,692.0
Asian + Female + Advanced Degree,923.0
