,08
total,736.0
total men,820.0
total women,644.0
Less than HS,440.0
High School,600.0
Some College,688.0
Bachelors Degree,968.0
Advanced Degree,1279.0
Male + Less than HS,481.0
Male + High School,688.0
Male + Some College,800.0
Male + Bachelors Degree,1154.0
Male + Advanced Degree,1500.0
Female + Less than HS,375.0
Female + High School,510.0
Female + Some College,600.0
Female + Bachelors Degree,850.0
Female + Advanced Degree,1115.0
White,760.0
White + Less than HS,450.0
White + High School,615.0
White + Some College,700.0
White + Bachelors Degree,1000.0
White + Advanced Degree,1288.0
Hispanic or Latino,538.0
Hispanic or Latino + Less than HS,420.0
Hispanic or Latino + High School,520.0
Hispanic or Latino + Some College,610.0
Hispanic or Latino + Bachelors Degree,850.0
Hispanic or Latino + Advanced Degree,1140.0
White + Male,850.0
Hispanic or Latino + Male,560.0
White + Male + Less than HS,496.0
Hispanic or Latino + Male + Less than HS,460.0
White + Male + High School,710.0
Hispanic or Latino + Male + High School,560.0
White + Male + Some College,808.0
Hispanic or Latino + Male + Some College,680.0
White + Male + Bachelors Degree,1154.0
Hispanic or Latino + Male + Bachelors Degree,950.0
White + Male + Advanced Degree,1522.0
Hispanic or Latino + Male + Advanced Degree,1346.0
White + Female,655.0
Hispanic or Latino + Female,500.0
White + Female + Less than HS,372.0
Hispanic or Latino + Female + Less than HS,360.0
White + Female + High School,520.0
Hispanic or Latino + Female + High School,469.0
White + Female + Some College,600.0
Hispanic or Latino + Female + Some College,560.0
White + Female + Bachelors Degree,846.0
Hispanic or Latino + Female + Bachelors Degree,769.0
White + Female + Advanced Degree,1116.0
Hispanic or Latino + Female + Advanced Degree,1000.0
Black,600.0
Black + Less than HS,400.0
Black + High School,500.0
Black + Some College,590.0
Black + Bachelors Degree,850.0
Black + Advanced Degree,1153.0
Black + Male,635.0
Black + Male + Less than HS,440.0
Black + Male + High School,560.0
Black + Male + Some College,640.0
Black + Male + Bachelors Degree,874.0
Black + Male + Advanced Degree,1211.0
Black + Female,576.0
Black + Female + Less than HS,381.0
Black + Female + High School,480.0
Black + Female + Some College,568.0
Black + Female + Bachelors Degree,808.0
Black + Female + Advanced Degree,1058.0
Asian,827.0
Asian + Less than HS,420.0
Asian + High School,560.0
Asian + Some College,640.0
Asian + Bachelors Degree,1000.0
Asian + Advanced Degree,1385.0
Asian + Male,961.0
Asian + Male + Less than HS,481.0
Asian + Male + High School,595.0
Asian + Male + Some College,692.0
Asian + Male + Bachelors Degree,1153.0
Asian + Male + Advanced Degree,1538.0
Asian + Female,730.0
Asian + Female + Less than HS,396.0
Asian + Female + High School,515.0
Asian + Female + Some College,600.0
Asian + Female + Bachelors Degree,904.0
Asian + Female + Advanced Degree,1154.0
